message,otp_request,upfront_fee,guaranteed_approval,urgency_pressure,excessive_permissions,fake_rbi_claim,hidden_charges,suspicious_link,flag,risk_score,risk_category
আপনার লোন এর আবেদন অগ্রগামী। দ্রুত OTP দিন।,1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
আপনার অ্যাকাউন্টে কিছু সন্দেহজনক কার্যকলাপ লক্ষ্য করা গেছে। সাহায্য করার জন্য কল করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"চলুন, আজই আপনার ব্যালেন্স বাড়ান। বিনিয়োগের জন্য দ্রুত যোগাযোগ করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার ওটিপি কোড ১২৩৪৫৬, দয়া করে কারো সাথে শেয়ার করবেন না।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Congratulations! You have won a prize. Send OTP to claim your reward.,1,1,0,0,0,0,0,0,1,55,High Risk 🟠
"Urgent! Your account will be suspended, verify now by sending OTP.",1,0,0,1,1,0,0,0,1,65,High Risk 🟠
Your loan approved! Send your personal details to receive funds.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Monthly subscription payment received. Thank you for your service usage.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Warning! Suspicious login detected, confirm your identity with OTP.",1,0,0,0,0,0,0,0,1,30,Medium Risk 🟡
"নতুন মোবাইল প্ল্যান অফার, বিস্তারিত জানতে কল করুন।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Account locked! Provide OTP now to unlock your account.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
"আপনার পেমেন্ট সফল হয়েছে, মোট ব্যালেন্স BDT ১২,০০০।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আপনার কার্ড থেকে অননুমোদিত লেনদেন করা হয়েছে, কল করুন অবিলম্বে।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Urgent! Update your bank details to continue service.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your account balance is BDT 7000. Thank you for banking with us.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"জরুরি: আপনার একাউন্টে অস্থায়ী সমস্যা হয়েছে, এখনি লগইন করে যাচাই করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Congratulations! You are selected for a free gift. Send OTP to claim.,1,1,0,0,0,0,0,0,1,55,High Risk 🟠
"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Urgent action required! Verify your account with OTP within 10 minutes.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Your debit card is blocked for suspicious activity. Call now to unblock.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
New mobile plan launched. Contact customer care for details.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
OTP verification failed. Please try again.,1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
"আপনার লোড ব্যালেন্স ক্ষীণ হচ্ছে, দ্রুত রিফিল করুন।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Warning! Unauthorized access attempt detected. Verify with OTP now.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
আপনার অ্যাকাউন্ট থেকে টাকা কেটে নেওয়া হয়েছে। সতর্ক থাকুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your subscription has been renewed successfully.	,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার মোবাইল ফোনের বিল পরিশোধ সফল হয়েছে। ধন্যবাদ।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Earn BDT 3000 daily working from home. Register now.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
আজকের বিশেষ অফার! আপনার ডিসকাউন্ট এনজয় করতে কল করুন আজই।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your debit card has been temporarily blocked due to suspicious activity.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"আপনার মেইল বক্স পূর্ণ, নতুন মেইল দেখতে লগইন করুন।",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your subscription has been renewed successfully. Thank you.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Update your bank details now to avoid service disruption.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
"Dear user, update your payment info to avoid account suspension. Click the link now.",0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
Your package delivery is scheduled for tomorrow. Track here: tracking-link.com,0,0,0,0,0,0,0,1,0,15,Low Risk 🟢
Urgent: Verify your email by clicking the verification link within 24 hours.,0,0,0,1,0,0,0,1,1,30,Medium Risk 🟡
Congratulations! You are selected for a free iPhone. Claim by replying with your address.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
"Team meeting is rescheduled to 3 PM, please confirm your availability.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Win big with our new lottery. Reply WIN to participate.,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
A new login to your account was detected from an unknown device. Secure your login now.,0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
Thank you for your recent purchase. Your order #12345 will arrive soon.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Update your password immediately to safeguard your account.,1,0,0,1,0,0,0,0,1,45,High Risk 🟠
Limited time offer: Upgrade your plan now and save 30%.,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
Your bank statement is ready. Download your PDF here.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
New message from support team. Check your inbox for details.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আপনার OTP কোড 947123, কারো সাথে শেয়ার করবেন না।	",1,0,0,0,0,0,0,0,0,30,Medium Risk 🟡
আপনার ফেসবুক একাউন্টে নতুন মেসেজ এসেছে। এখনই চেক করুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"Payment of BDT 2,500 received successfully. Thank you for your payment.",0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Friend request from Raisa Moni.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার ব্যাংক স্টেটমেন্ট ডাউনলোড করতে এখানে ক্লিক করুন।,0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Earn BDT 3000 daily from home. Register now!,0,0,0,1,0,0,0,0,1,15,Low Risk 🟢
	Your insurance claim has been approved. Contact us for details.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
"আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে, দ্রুত কল করুন।",0,0,0,0,0,0,0,0,1,0,Low Risk 🟢
Your software update is ready to install. Proceed now.,0,0,0,1,0,0,0,0,0,15,Low Risk 🟢
Verify your email address by clicking this link.,0,0,0,0,0,0,0,1,1,15,Low Risk 🟢
আপনার মোবাইল সেটিংস আপডেট করেছেন?,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Your subscription will expire tomorrow. Renew to continue service.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার ফেসবুক এ নতুন মন্তব্য এসেছে। এখনই দেখুন।,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
Friend request from Rafi Ahmed. Accept to connect.,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
আপনার মোবাইল সেটিংস সফলভাবে আপডেট হয়েছে।	,0,0,0,0,0,0,0,0,0,0,Low Risk 🟢
